,sub_city,place,price_range,q/q,trend,1BHK,2BHK,3BHK
0,Mumbai Thane ,Anand Nagar,"Rs. 7,735 - 8,628/sq. ft.","-1.03%                                             
","
See Trends
","Rs. 10,566 - 12,486","Rs. 15,300 - 18,360 ","Rs. 19,890 - 24,310"
1,Mumbai Thane ,Ashok Nagar,"Rs. 8,840 - 10,242/sq. ft.",-                                        ,"
Not Available
",-,"Rs. 18,553 - 20,973 ",-
2,Mumbai Thane ,Balkum,"Rs. 8,755 - 9,988/sq. ft.","-2.24%                                             
","
See Trends
","Rs. 12,928 - 15,415","Rs. 17,850 - 20,825 ","Rs. 25,517 - 29,345"
3,Mumbai Thane ,Balkum Pada,"Rs. 8,542 - 9,095/sq. ft.","-0.48%                                             
","
See Trends
","Rs. 10,846 - 14,297","Rs. 13,728 - 19,508 ",-
4,Mumbai Thane ,Bhaskar Colony,"Rs. 13,940 - 15,555/sq. ft.",-                                        ,"
Not Available
",-,- ,-
5,Mumbai Thane ,Bhayandarpada,"Rs. 7,012 - 7,905/sq. ft.","0%                                                 
                                        ","
See Trends
",-,"Rs. 13,600 - 15,300 ",-
6,Mumbai Thane ,Brahmand,"Rs. 8,415 - 9,308/sq. ft.","0%                                                 
                                        ","
See Trends
","Rs. 12,243 - 12,714","Rs. 16,830 - 19,890 ",-
7,Mumbai Thane ,Budhaji Nagar,"Rs. 7,268 - 8,202/sq. ft.","-3.63%                                             
","
See Trends
",-,- ,-
8,Mumbai Thane ,Charai,"Rs. 10,158 - 12,155/sq. ft.","4.26%                                             
","
See Trends
","Rs. 13,260 - 14,586",- ,-
9,Mumbai Thane ,Chirak Nagar,"Rs. 10,455 - 11,688/sq. ft.","-0.38%                                             
","
See Trends
","Rs. 17,629 - 20,222","Rs. 20,196 - 22,889 ",-
10,Mumbai Thane ,Damoji Patil Wadi,"Rs. 13,260 - 13,812/sq. ft.","-0.62%                                             
","
See Trends
","Rs. 17,748 - 18,734",- ,-
11,Mumbai Thane ,Devdaya Nagar,"Rs. 11,900 - 14,280/sq. ft.",-                                        ,"
Not Available
","Rs. 12,967 - 14,408","Rs. 21,250 - 25,500 ",-
12,Mumbai Thane ,Dhobi Ali,"Rs. 9,605 - 12,155/sq. ft.","3.63%                                             
","
See Trends
",-,- ,-
13,Mumbai Thane ,Dhokali,"Rs. 8,968 - 9,988/sq. ft.","0%                                                 
                                        ","
See Trends
","Rs. 13,311 - 15,283","Rs. 19,125 - 20,655 ","Rs. 23,375 - 27,625"
14,Mumbai Thane ,Diva Gaon,"Rs. 2,422 - 3,272/sq. ft.",-                                        ,"
Not Available
","Rs. 3,536 - 4,420",- ,-
15,Mumbai Thane ,Dokali Pada,"Rs. 8,798 - 9,818/sq. ft.","0.47%                                             
","
See Trends
","Rs. 13,196 - 15,640","Rs. 17,790 - 20,884 ",-
16,Mumbai Thane ,Dongripada,-,-                                        ,"
Not Available
",-,"Rs. 19,910 - 21,570 ",-
17,Mumbai Thane ,Eden Wood,"Rs. 10,582 - 11,560/sq. ft.",-                                        ,"
Not Available
",-,"Rs. 19,614 - 23,536 ",-
18,Mumbai Thane ,Ganeshwadi,"Rs. 7,905 - 8,585/sq. ft.",-                                        ,"
Not Available
",-,- ,-
19,Mumbai Thane ,Gawand Baug,"Rs. 9,478 - 10,115/sq. ft.","1.36%                                             
","
See Trends
","Rs. 14,875 - 16,660","Rs. 20,188 - 22,610 ",-
20,Mumbai Thane ,G B Road,"Rs. 7,522 - 8,670/sq. ft.","-1.6%                                             
","
See Trends
","Rs. 9,996 - 12,852","Rs. 14,858 - 17,986 ",-
21,Mumbai Thane ,Ghodbunder Road,"Rs. 8,202 - 10,328/sq. ft.","0.47%                                             
","
See Trends
","Rs. 11,495 - 15,494","Rs. 17,298 - 22,015 ","Rs. 27,272 - 34,387"
22,Mumbai Thane ,Hari Om Nagar,"Rs. 13,260 - 13,812/sq. ft.","-0.62%                                             
","
See Trends
","Rs. 17,748 - 18,734",- ,-
23,Mumbai Thane ,Hiranandani Estate,"Rs. 10,710 - 12,750/sq. ft.","0.36%                                             
","
See Trends
","Rs. 16,550 - 18,556","Rs. 22,974 - 26,143 ","Rs. 35,572 - 39,525"
24,Mumbai Thane ,Hiranandani Meadows,"Rs. 14,492 - 16,575/sq. ft.","-3.75%                                             
","
See Trends
",-,"Rs. 24,735 - 28,858 ","Rs. 39,525 - 43,350"
25,Mumbai Thane ,Jambli Naka,"Rs. 10,200 - 12,112/sq. ft.",-                                        ,"
Not Available
",-,- ,-
26,Mumbai Thane ,JK Gram,"Rs. 12,070 - 12,410/sq. ft.","-0.34%                                             
","
See Trends
",-,- ,-
27,Mumbai Thane ,Kailash Nagar,"Rs. 9,095 - 9,818/sq. ft.","2.31%                                             
","
See Trends
",-,"Rs. 19,125 - 21,420 ",-
28,Mumbai Thane ,Kalher,"Rs. 3,230 - 3,740/sq. ft.","-2.44%                                             
","
See Trends
","Rs. 4,462 - 5,355","Rs. 5,018 - 6,273 ",-
